# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
4291634 0.01942,0.91766,0.10977
4296429 -0.12586,0.80117,0.26378
4300975 -0.00063,0.85993,0.12616
4305781 0.04604,0.97331,0.06555
4310330 0.03456,0.97396,0.04692
4314881 0.00273,0.95535,0.04507
4320165 -0.02614,0.93684,0.06117
4324719 -0.04815,0.93000,0.07072
4329523 -0.05773,0.92779,0.08138
4334082 -0.03915,0.93385,0.08539
4338888 -0.02581,0.93874,0.08624
4343446 -0.02010,0.93434,0.08600
4348002 -0.01305,0.93096,0.08353
4352807 -0.01708,0.91772,0.08392
4357361 -0.01674,0.90969,0.09235
4362166 -0.02020,0.91488,0.10118
4366719 -0.01464,0.94037,0.10141
4371526 0.00135,0.94261,0.10031
4376084 0.01249,0.95612,0.09913
4380638 0.01591,0.94095,0.09826
4385438 0.01874,0.92840,0.10057
4390469 0.01598,0.94949,0.11098
4395275 0.01573,0.93316,0.12909
4399833 0.02159,0.92597,0.11066
4404638 0.00973,0.94556,0.09998
4409193 -0.00497,0.95619,0.09580
4414003 -0.01810,0.97249,0.10090
4418559 -0.01521,0.97999,0.10524
4423115 -0.00101,0.97538,0.11479
4427918 -0.00762,0.97371,0.12346
4432473 -0.01038,0.96853,0.12500
4437272 -0.00437,0.96235,0.12747
4441825 -0.01015,0.96854,0.12426
4446625 -0.01437,0.96518,0.12087
4451180 -0.01125,0.96225,0.12063
4455733 -0.01893,0.97494,0.12302
4461018 -0.02733,0.98886,0.11385
4465574 -0.02916,0.98858,0.11534
4470379 -0.02484,0.98452,0.11043
4474935 -0.01593,0.98574,0.11135
4479739 -0.01283,0.97240,0.11587
4484295 0.00727,0.95907,0.12103
4488855 0.02215,0.94412,0.13239
4493665 0.02636,0.95277,0.14041
4498226 0.02698,0.97023,0.13754
