# Data format: "%int(ChipTimeUS) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
233459671 1.00965,0.16455,-0.02801
233464244 0.96572,0.20291,-0.03521
233469069 0.89514,0.21473,-0.05086
233474124 0.91360,0.16478,-0.04143
233478704 0.92186,0.16420,-0.01515
233483532 0.92860,0.19991,-0.02265
233488109 0.86350,0.22269,-0.02416
233492937 0.80336,0.24287,-0.04045
233497515 0.79319,0.22869,-0.05354
233502345 0.82652,0.19699,-0.05986
233506925 0.88190,0.19695,-0.05652
233511501 0.93787,0.18359,-0.06020
233516327 0.96750,0.18383,-0.05916
233520904 0.99285,0.16590,-0.04514
233525731 0.98182,0.18094,-0.02749
233530311 0.99554,0.19265,-0.01366
233535137 0.98394,0.16844,-0.00549
233539715 0.98390,0.18933,0.02532
233545024 0.98616,0.18477,0.03199
233549611 1.00864,0.19034,0.04680
233554196 1.01203,0.19133,0.05784
233559026 1.00957,0.18440,0.06063
233563601 0.98821,0.16214,0.08040
233568423 0.95877,0.16259,0.08132
233573001 0.95189,0.18381,0.07453
233577832 0.97135,0.19101,0.07090
233582409 0.98646,0.19224,0.07104
233586987 1.00603,0.19158,0.06821
233591817 1.00886,0.20626,0.05822
233596400 1.01921,0.21659,0.05708
233601232 1.00402,0.20159,0.04796
233605815 0.98253,0.20933,0.05196
233611128 0.95900,0.21201,0.04077
233615711 0.93472,0.21018,0.03405
233620544 0.92664,0.20582,0.03168
233625126 0.91894,0.20890,0.02506
233629709 0.92828,0.21090,0.02351
233634542 0.92936,0.21276,0.01684
233639123 0.94358,0.20825,0.01064
