# Data format: "%int(Month)/%int(Day)/%int(Year) %int(Hours):%int(Minutes):%float(Seconds) %float(CorrectedAccelX),%float(CorrectedAccelY),%float(CorrectedAccelZ)"
03/27/20 20:05:29.841152 -0.11499,0.70605,0.15381
03/27/20 20:05:29.850472 -0.08545,0.69727,0.13916
03/27/20 20:05:29.859791 -0.05396,0.69995,0.12207
03/27/20 20:05:29.869108 -0.01001,0.71802,0.10327
03/27/20 20:05:29.878422 0.01953,0.71582,0.09277
03/27/20 20:05:29.887732 0.04443,0.73120,0.11133
03/27/20 20:05:29.897036 0.04321,0.73804,0.11987
03/27/20 20:05:29.906094 0.03735,0.73340,0.12622
03/27/20 20:05:29.911438 0.03735,0.74561,0.13135
03/27/20 20:05:29.920748 0.04199,0.74854,0.13940
03/27/20 20:05:29.930059 0.03418,0.77173,0.16797
03/27/20 20:05:29.939123 0.04688,0.81812,0.16797
03/27/20 20:05:29.948422 0.03613,0.83691,0.17896
03/27/20 20:05:29.957727 0.03662,0.86328,0.18701
03/27/20 20:05:29.967030 0.03711,0.88037,0.20142
03/27/20 20:05:29.976337 0.04053,0.89795,0.20898
03/27/20 20:05:29.985643 0.04858,0.93237,0.21289
03/27/20 20:05:29.994953 0.04346,0.96069,0.19800
03/27/20 20:05:30.004498 0.03467,1.03027,0.19092
03/27/20 20:05:30.013817 0.01929,1.06152,0.19409
03/27/20 20:05:30.023144 -0.02148,1.09961,0.18408
03/27/20 20:05:30.032471 -0.04175,1.16016,0.16846
03/27/20 20:05:30.041796 -0.04492,1.24976,0.15283
03/27/20 20:05:30.051119 -0.05273,1.28760,0.16333
03/27/20 20:05:30.060442 -0.06885,1.28418,0.16699
03/27/20 20:05:30.069521 -0.05200,1.30688,0.16553
03/27/20 20:05:30.078840 -0.00195,1.30688,0.18701
03/27/20 20:05:30.088160 0.06738,1.23608,0.19604
03/27/20 20:05:30.093513 0.11328,1.20850,0.18335
03/27/20 20:05:30.102587 0.17017,1.16870,0.14600
03/27/20 20:05:30.111914 0.19360,1.13916,0.13696
